Date,Time,Software,Action,Version,ID,Denial Message
not_provided,11:39:29,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:39:36,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:39:36,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:39:47,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:39:47,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:39:52,(ARCGIS),OUT:,"Viewer",nperrie@5CG44804CX,
not_provided,11:39:53,(ARCGIS),OUT:,"Editor",smoodley@SGH227R9P2,
not_provided,11:39:53,(ARCGIS),OUT:,"VBA",smoodley@SGH227R9P2,
not_provided,11:39:57,(ARCGIS),OUT:,"Editor",snaidoo@SGH227R9PB,
not_provided,11:39:57,(ARCGIS),OUT:,"VBA",snaidoo@SGH227R9PB,
not_provided,11:40:56,(ARCGIS),IN:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,11:40:56,(ARCGIS),OUT:,"VBA",mpatel1@SGH227R9P6,
not_provided,11:41:10,(ARCGIS),UNSUPPORTED:,"Tracking",rzhang@SGH227R9P3,License server system does not support this feature. ,
not_provided,11:42:08,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:42:08,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
not_provided,11:42:14,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:42:14,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
not_provided,11:42:28,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:42:28,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
not_provided,11:42:32,(ARCGIS),OUT:,"Editor",asawant@SGH227R9PF,
not_provided,11:42:32,(ARCGIS),OUT:,"VBA",asawant@SGH227R9PF,
not_provided,11:42:33,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:42:33,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
not_provided,11:42:46,(ARCGIS),OUT:,"Editor",asawant@SGH227R9PF,
not_provided,11:42:46,(ARCGIS),OUT:,"VBA",asawant@SGH227R9PF,
not_provided,11:42:47,(ARCGIS),OUT:,"Editor",pshih@SGH227R9P9,
not_provided,11:42:47,(ARCGIS),OUT:,"VBA",pshih@SGH227R9P9,
not_provided,11:42:56,(ARCGIS),OUT:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,11:42:58,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:42:58,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:43:10,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:43:10,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:43:16,(ARCGIS),OUT:,"Editor",pshih@SGH227R9P9,
not_provided,11:43:16,(ARCGIS),OUT:,"VBA",pshih@SGH227R9P9,
not_provided,11:43:18,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:43:18,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:43:27,(ARCGIS),OUT:,"Viewer",cbroadbe@SGH448T6H1,
not_provided,11:43:27,(ARCGIS),OUT:,"VBA",cbroadbe@SGH448T6H1,
not_provided,11:43:29,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:43:29,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
not_provided,11:43:36,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:43:36,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:43:47,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:43:47,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:43:51,(ARCGIS),OUT:,"Viewer",nperrie@5CG44804CX,
not_provided,11:43:54,(ARCGIS),OUT:,"Editor",smoodley@SGH227R9P2,
not_provided,11:43:54,(ARCGIS),OUT:,"VBA",smoodley@SGH227R9P2,
not_provided,11:43:57,(ARCGIS),OUT:,"Editor",snaidoo@SGH227R9PB,
not_provided,11:43:57,(ARCGIS),OUT:,"VBA",snaidoo@SGH227R9PB,
not_provided,11:44:42,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:44:53,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:44:56,(ARCGIS),OUT:,"Editor",rzhang@SGH227R9P3,
not_provided,11:44:56,(ARCGIS),OUT:,"VBA",rzhang@SGH227R9P3,
not_provided,11:44:56,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
not_provided,11:44:56,(ARCGIS),IN:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,11:44:56,(ARCGIS),OUT:,"VBA",mpatel1@SGH227R9P6,
not_provided,11:45:02,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:45:07,(ARCGIS),UNSUPPORTED:,"Tracking",mcuevas@SGH227R9P8,License server system does not support this feature. ,
not_provided,11:45:49,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:45:54,(ARCGIS),IN:,"VBA",asawant@SGH227R9PF,
not_provided,11:45:54,(ARCGIS),IN:,"Editor",asawant@SGH227R9PF,
not_provided,11:46:36,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:46:56,(ARCGIS),IN:,"VBA",mpatel1@SGH227R9P6,
not_provided,11:46:56,(ARCGIS),OUT:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,11:47:45,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
